Date,Sun_Hours
2009-01-01,9.0
2009-01-02,7.387911111111111
2009-01-03,0.0
2009-01-04,0.5244888888888889
2009-01-05,7.793922222222222
2009-01-06,1.9936222222222222
2009-01-07,0.24544444444444444
2009-01-08,4.862861111111111
2009-01-09,3.557311111111111
2009-01-10,7.308625
2009-01-11,9.0
2009-01-12,9.0
2009-01-13,0.7850361111111112
2009-01-14,0.0
2009-01-15,5.56708611111111
2009-01-16,7.010061111111112
2009-01-17,9.096077777777777
2009-01-18,9.0
2009-01-19,9.075105555555556
2009-01-20,9.1599
2009-01-21,0.15967777777777778
2009-01-22,8.873644444444444
2009-01-23,3.570866666666667
2009-01-24,7.182055555555556
2009-01-25,5.4291833333333335
2009-01-26,9.281419444444445
2009-01-27,6.0
2009-01-28,9.219811111111111
2009-01-29,9.0
2009-01-30,9.514680555555556
2009-01-31,0.10214166666666666
2009-02-01,0.6150916666666666
2009-02-02,0.0
2009-02-03,0.06260555555555555
2009-02-04,6.877605555555556
2009-02-05,9.772405555555556
2009-02-06,9.793208333333334
2009-02-07,8.571491666666667
2009-02-08,9.834858333333333
2009-02-09,9.855672222222221
2009-02-10,9.51701111111111
2009-02-11,7.119047222222222
2009-02-12,7.925658333333333
2009-02-13,9.355027777777778
2009-02-14,8.013877777777777
2009-02-15,9.8786
2009-02-16,10.334141666666667
2009-02-17,10.321986111111112
2009-02-18,3.4766500000000002
2009-02-19,9.578766666666667
2009-02-20,8.500791666666666
2009-02-21,10.683552777777779
2009-02-22,9.400730555555555
2009-02-23,10.731066666666665
2009-02-24,10.755436111111111
2009-02-25,10.780169444444445
2009-02-26,10.805233333333332
2009-02-27,10.8306
2009-02-28,10.856230555555555
2009-03-01,10.882094444444444
2009-03-02,9.970516666666667
2009-03-03,10.225666666666667
2009-03-04,0.069075
2009-03-05,5.490927777777777
2009-03-06,5.526825
2009-03-07,10.414294444444444
2009-03-08,11.0
2009-03-09,11.05116388888889
2009-03-10,11.04175
2009-03-11,6.978458333333333
2009-03-12,2.4017000000000004
2009-03-13,11.013858333333333
2009-03-14,11.257813888888888
2009-03-15,11.24851111111111
2009-03-16,11.239266666666667
2009-03-17,11.230091666666667
2009-03-18,9.213280555555555
2009-03-19,11.464544444444444
2009-03-20,0.0
2009-03-21,0.4976305555555556
2009-03-22,1.724688888888889
2009-03-23,11.695997222222221
2009-03-24,11.757466666666666
2009-03-25,5.973802777777777
2009-03-26,9.668216666666668
2009-03-27,12.023761111111112
2009-03-28,11.83645277777778
2009-03-29,5.3261666666666665
2009-03-30,7.748986111111111
2009-03-31,8.898177777777777
2009-04-01,1.9129944444444444
2009-04-02,11.391747222222222
2009-04-03,8.702941666666666
2009-04-04,10.775719444444443
2009-04-05,12.713927777777778
2009-04-06,2.109461111111111
2009-04-07,11.91912222222222
2009-04-08,12.846583333333333
2009-04-09,12.890686111111112
2009-04-10,12.934688888888887
2009-04-11,12.978552777777779
2009-04-12,12.933441666666667
2009-04-13,9.798227777777779
2009-04-14,3.8460750000000004
2009-04-15,12.724177777777777
2009-04-16,13.0
2009-04-17,13.0
2009-04-18,12.0
2009-04-19,9.859622222222223
2009-04-20,9.808744444444445
2009-04-21,8.139697222222223
2009-04-22,0.0
2009-04-23,9.291133333333335
2009-04-24,12.835727777777779
2009-04-25,13.0
2009-04-26,9.01
2009-04-27,12.639122222222221
2009-04-28,10.028844444444443
2009-04-29,12.162338888888888
2009-04-30,13.0
2009-05-01,7.320327777777778
2009-05-02,12.431547222222223
2009-05-03,12.567394444444446
2009-05-04,9.253430555555555
2009-05-05,13.0
2009-05-06,13.0
2009-05-07,13.065088888888889
2009-05-08,13.056455555555555
2009-05-09,13.13831388888889
2009-05-10,13.130374999999999
2009-05-11,13.1227
2009-05-12,13.11523611111111
2009-05-13,13.13485
2009-05-14,12.851025
2009-05-15,12.985005555555555
2009-05-16,12.515044444444445
2009-05-17,12.3262
2009-05-18,11.853349999999999
2009-05-19,13.345091666666667
2009-05-20,13.573386111111112
2009-05-21,13.56182777777778
2009-05-22,13.643319444444444
2009-05-23,13.818791666666668
2009-05-24,12.954955555555555
2009-05-25,13.612063888888889
2009-05-26,13.602330555555556
2009-05-27,12.342452777777778
2009-05-28,12.558855555555555
2009-05-29,8.018141666666667
2009-05-30,12.427322222222223
2009-05-31,13.89792222222222
2009-06-01,9.046780555555555
2009-06-02,14.018511111111112
