Date,Year,Month,Avg_Temp,Max_Temp,Min_Temp,Rain,Max_Wind,Avg_Wind,Avg_Gust,Sun_Hours,Clouds,Pressure,Snow
2009-01-01,2009,1,5.309677419354839,9.370967741935484,1.7903225806451613,107.0,9.629032258064516,6.525806451612904,23.383870967741935,178.70093333333332,67.54838709677419,1013,3.8499999999999996
2009-02-01,2009,2,5.5249999999999995,9.935714285714285,1.8,20.5,12.782142857142857,8.47857142857143,28.342857142857145,234.24751666666666,54.75,1013,0.7
2009-03-01,2009,3,8.7,13.474193548387097,4.016129032258065,86.7,14.96774193548387,8.66451612903226,35.619354838709675,258.8711861111111,54.225806451612904,1013,1.33
2009-04-01,2009,4,14.296666666666665,18.426666666666666,10.216666666666667,33.3,10.273333333333333,5.526666666666667,25.863333333333333,308.25357777777776,57.93333333333333,1013,0.0
2009-05-01,2009,5,20.551612903225806,25.338709677419356,15.619354838709677,13.6,11.193548387096774,6.183870967741936,27.0,389.22280555555557,43.935483870967744,1013,0.0
2009-06-01,2009,6,23.94333333333333,28.470000000000002,19.176666666666666,19.3,11.946666666666665,6.12,29.636666666666667,414.7660222222222,30.3,1013,0.0
2009-07-01,2009,7,27.29032258064516,32.21612903225807,22.16774193548387,5.1,12.003225806451614,6.741935483870968,29.006451612903227,433.5909138888889,13.67741935483871,1013,0.0
2009-08-01,2009,8,26.293548387096774,30.687096774193545,21.683870967741935,17.3,10.077419354838709,5.535483870967742,25.593548387096774,396.8877166666667,27.0,1013,0.0
2009-09-01,2009,9,21.676666666666666,25.790000000000003,17.513333333333332,27.0,10.353333333333333,5.930000000000001,26.353333333333335,302.88630277777776,51.166666666666664,1013,0.0
2009-10-01,2009,10,16.45483870967742,20.961290322580645,12.041935483870969,60.5,11.051612903225807,6.854838709677419,27.54516129032258,274.4133277777778,46.0,1013,0.0
2009-11-01,2009,11,11.363333333333333,16.44,7.3100000000000005,70.4,9.426666666666668,5.98,21.14333333333333,224.65844444444446,44.5,1013,0.0
2009-12-01,2009,12,8.929032258064517,12.261290322580644,6.02258064516129,142.3,10.161290322580646,6.803225806451613,23.193548387096776,162.52540555555555,77.58064516129032,1013,0.0
2010-01-01,2010,1,5.851612903225806,9.19032258064516,2.838709677419355,15.5,9.832258064516129,6.635483870967741,22.129032258064516,182.42700555555555,68.2258064516129,1013,3.5700000000000003
2010-02-01,2010,2,7.171428571428572,11.625,3.125,96.5,12.264285714285714,7.560714285714285,30.167857142857144,204.20254166666666,61.607142857142854,1013,1.4
2010-03-01,2010,3,9.548387096774194,14.280645161290321,4.806451612903226,50.4,12.587096774193547,7.387096774193548,29.83225806451613,282.78589166666666,50.225806451612904,1013,8.049999999999999
2010-04-01,2010,4,15.026666666666667,19.203333333333333,10.67,13.0,11.453333333333331,6.59,27.023333333333333,327.7083666666667,49.833333333333336,1013,0.0
2010-05-01,2010,5,20.0258064516129,24.858064516129033,15.203225806451613,34.2,13.941935483870967,7.658064516129032,33.170967741935485,369.3504611111111,44.12903225806452,1013,0.0
2010-06-01,2010,6,23.94333333333333,28.503333333333334,19.17,23.5,12.383333333333333,6.816666666666666,30.503333333333334,399.84491388888887,38.166666666666664,1013,0.0
2010-07-01,2010,7,27.135483870967743,31.75161290322581,22.096774193548388,22.5,11.251612903225807,6.648387096774194,28.625806451612902,417.6145972222222,23.322580645161292,1013,0.0
2010-08-01,2010,8,28.725806451612904,33.75483870967742,23.451612903225808,1.2,12.193548387096774,6.587096774193548,28.951612903225808,394.3469361111111,12.03225806451613,1013,0.0
2010-09-01,2010,9,22.033333333333335,26.446666666666665,17.543333333333333,35.4,11.493333333333334,6.6899999999999995,27.81,315.7862583333333,40.13333333333333,1013,0.0
2010-10-01,2010,10,14.112903225806452,17.283870967741933,10.96774193548387,216.5,9.509677419354839,5.870967741935484,22.88064516129032,168.27760555555554,64.16129032258064,1013,0.0
2010-11-01,2010,11,13.803333333333335,18.293333333333333,9.97,25.5,9.7,6.233333333333333,21.353333333333335,226.75827222222222,51.3,1013,0.0
2010-12-01,2010,12,6.587096774193548,10.719354838709679,3.261290322580645,23.7,11.44516129032258,8.138709677419355,24.693548387096776,211.20621666666665,54.12903225806452,1013,7.63
2011-01-01,2011,1,5.022580645161291,9.17741935483871,1.6451612903225807,23.8,8.712903225806452,6.219354838709678,20.05806451612903,197.10653888888888,57.38709677419355,1013,0.0
2011-02-01,2011,2,5.982142857142857,10.182142857142859,2.4714285714285715,51.4,10.892857142857142,7.153571428571429,24.175,154.33115555555554,61.25,1013,0.0
2011-03-01,2011,3,8.616129032258065,13.51290322580645,4.051612903225807,52.3,10.329032258064515,6.358064516129032,24.97741935483871,279.0833,51.935483870967744,1013,1.26
2011-04-01,2011,4,13.44,17.926666666666666,8.846666666666666,18.799999999999997,12.613333333333333,7.3533333333333335,31.063333333333333,328.3507833333333,50.06666666666667,1013,0.0
2011-05-01,2011,5,18.68064516129032,23.238709677419354,13.90967741935484,36.7,11.048387096774194,6.096774193548387,29.467741935483872,374.77155833333336,42.806451612903224,1013,0.0
2011-06-01,2011,6,23.98,28.386666666666667,19.33,16.3,13.76,7.933333333333334,33.14,430.85255555555557,27.733333333333334,1013,0.0
