Date,Max Wind,Avg Wind,Avg Gust
2023-05-01,9.9,4.6,10.5
2023-06-01,9.8,4.7,10
2023-07-01,12.6,6.2,12.6
2023-08-01,15,6.5,12.9
2023-09-01,14.7,5.6,8.1
2023-10-01,8.9,4.2,6.2
2023-11-01,12.4,6.4,9
2023-12-01,6.5,3.7,5.7
2024-01-01,10.1,5.3,7.8
2024-02-01,10.5,5.4,7.6
2024-03-01,12.2,5.9,8
2024-04-01,12.5,5.6,8.3
2024-05-01,11.9,5.4,7.4
2024-06-01,17.5,5.9,8.4
2024-07-01,17.7,6.8,9.7
2024-08-01,17,6,8.6
2024-09-01,13.1,5.9,8.3
