Date,Max_Wind,Avg_Wind,Avg_Gust
2025-06-17,15.2,6.2,34.2
2025-06-18,14.7,6.4,31.7
2025-06-19,11.6,6.6,28.1
2025-06-20,21.1,11.7,47.5
2025-06-21,21.5,14.0,43.9
2025-06-22,12.4,6.8,27.7
2025-06-23,12.1,6.1,25.2
2025-06-24,8.5,5.1,21.6
2025-06-25,12.5,6.6,27.0
2025-06-26,13.6,6.6,31.3
2025-06-27,13.8,6.7,32.0
2025-06-28,26.9,18.4,57.6
2025-06-29,25.6,16.4,54.7
2025-06-30,12.1,6.7,28.4
2025-07-01,17.5,9.4,38.9
2025-07-02,17.0,7.6,35.6
2025-07-03,13.5,7.8,30.2
2025-07-04,13.2,8.1,29.5
2025-07-05,14.1,5.9,30.6
2025-07-06,11.8,6.0,28.4
2025-07-07,13.4,6.1,31.0
2025-07-08,14.5,6.7,32.0
2025-07-09,31.8,16.9,66.2
2025-07-10,31.5,24.7,65.5
2025-07-11,17.8,11.2,38.9
2025-07-12,11.4,7.0,30.6
2025-07-13,11.1,7.0,25.6
2025-07-14,8.5,6.0,24.1
2025-07-15,19.4,7.8,42.5
2025-07-16,13.8,8.8,31.3
2025-07-17,24.1,10.2,50.0
2025-07-18,23.6,12.7,51.5
2025-07-19,12.3,5.8,25.9
2025-07-20,11.4,5.8,27.4
2025-07-21,13.1,5.9,28.4
2025-07-22,9.7,5.0,24.5
2025-07-23,15.4,7.7,33.5
2025-07-24,9.6,5.9,25.9
2025-07-25,11.9,5.9,26.6
2025-07-26,14.4,6.3,32.0
2025-07-27,13.9,5.9,33.1
2025-07-28,21.1,11.0,43.9
2025-07-29,20.4,11.2,41.8
2025-07-30,23.9,14.2,50.8
2025-07-31,19.8,10.7,41.0
2025-08-01,11.3,4.7,27.0
2025-08-02,8.8,4.0,22.0
2025-08-03,11.7,6.6,24.5
2025-08-04,23.2,7.4,59.0
2025-08-05,17.6,12.3,36.7
2025-08-06,16.4,10.7,38.2
2025-08-07,20.2,9.7,40.3
2025-08-08,9.8,5.7,19.8
2025-08-09,11.0,4.3,24.5
2025-08-10,12.2,5.2,25.6
2025-08-11,10.8,5.2,24.1
2025-08-12,10.8,5.1,24.1
2025-08-13,15.7,6.2,35.6
2025-08-14,14.9,8.5,31.3
2025-08-15,13.4,5.5,27.4
2025-08-16,11.2,6.4,24.5
2025-08-17,8.2,5.4,24.1
2025-08-18,12.0,6.0,28.1
2025-08-19,13.5,7.2,30.2
2025-08-20,12.0,7.2,28.4
2025-08-21,14.3,5.6,31.3
2025-08-22,10.3,4.3,24.8
2025-08-23,23.3,18.5,47.9
2025-08-24,19.5,13.2,42.8
2025-08-25,13.7,7.2,32.8
2025-08-26,10.9,6.7,24.8
2025-08-27,6.9,4.6,17.6
2025-08-28,10.1,5.2,23.0
2025-08-29,12.5,6.6,27.4
2025-08-30,15.8,7.0,49.0
2025-08-31,13.2,6.3,31.0
2025-09-01,18.1,11.1,40.0
2025-09-02,11.0,7.4,24.5
2025-09-03,10.9,6.3,26.6
2025-09-04,17.7,10.3,36.0
2025-09-05,8.9,5.2,24.1
2025-09-06,11.4,6.5,24.1
2025-09-07,9.2,5.5,24.1
2025-09-08,11.1,6.7,26.6
2025-09-09,13.8,6.8,32.0
2025-09-10,12.0,5.7,26.6
2025-09-11,13.3,3.9,30.6
2025-09-12,17.0,8.6,37.8
2025-09-13,11.9,6.4,28.1
2025-09-14,13.7,7.2,32.8
2025-09-15,12.2,6.8,29.5
2025-09-16,11.3,5.9,25.6
2025-09-17,27.3,15.8,56.9
2025-09-18,24.5,16.8,51.5
2025-09-19,16.0,9.6,33.5
2025-09-20,8.5,4.7,21.6
2025-09-21,11.1,5.3,24.5
2025-09-22,13.3,5.9,28.4
2025-09-23,11.5,5.7,26.3
2025-09-24,11.9,4.9,27.0
2025-09-25,13.4,6.7,29.5
2025-09-26,10.3,7.1,24.5
2025-09-27,10.9,7.0,25.2
2025-09-28,12.1,6.1,24.5
2025-09-29,5.2,3.2,18.0
2025-09-30,11.4,6.6,27.7
2025-10-01,11.3,5.4,25.6
2025-10-02,25.4,13.5,49.7
2025-10-03,26.6,22.8,55.1
2025-10-04,20.6,13.0,43.6
2025-10-05,8.9,4.3,17.3
2025-10-06,27.6,13.9,57.2
2025-10-07,26.5,23.9,55.4
2025-10-08,28.8,23.7,59.8
2025-10-09,21.3,15.5,46.8
2025-10-10,14.3,11.6,32.4
2025-10-11,30.5,22.6,63.7
2025-10-12,14.5,9.8,33.1
2025-10-13,13.2,9.7,30.2
2025-10-14,13.6,10.1,31.3
2025-10-15,8.7,4.8,18.4
2025-10-16,11.1,5.1,26.3
2025-10-17,8.3,5.1,19.8
2025-10-18,6.2,3.8,16.2
2025-10-19,19.7,13.8,43.2
2025-10-20,12.4,5.0,28.4
2025-10-21,11.8,5.5,26.3
2025-10-22,6.8,4.4,22.0
