,index,Date,High T,Low T
0,0,01-01-2023,15,3
1,1,02-01-2023,15,2
2,2,03-01-2023,14,4
3,3,04-01-2023,15,2
4,4,05-01-2023,14,7
5,5,06-01-2023,16,2
6,6,07-01-2023,15,3
7,7,08-01-2023,14,2
8,8,09-01-2023,13,2
9,9,10-01-2023,13,9
10,10,11-01-2023,10,7
11,11,12-01-2023,12,7
12,12,13-01-2023,12,5
13,13,14-01-2023,9,8
14,14,15-01-2023,11,5
15,15,16-01-2023,11,5
16,16,17-01-2023,17,7
17,17,18-01-2023,19,13
18,18,19-01-2023,20,14
19,19,20-01-2023,16,11
20,20,21-01-2023,15,5
21,21,22-01-2023,16,10
22,22,23-01-2023,12,11
23,23,24-01-2023,9,7
24,24,25-01-2023,6,4
25,25,26-01-2023,7,4
26,26,27-01-2023,11,7
27,27,28-01-2023,9,6
28,28,29-01-2023,7,5
29,29,30-01-2023,5,3
30,30,31-01-2023,9,1
31,0,01-02-2023,10,-1
32,1,02-02-2023,13,1
33,2,03-02-2023,13,5
34,3,04-02-2023,12,2
35,4,05-02-2023,7,2
36,5,06-02-2023,6,-3
37,6,07-02-2023,7,-4
38,7,08-02-2023,6,-5
39,8,09-02-2023,7,-5
40,9,10-02-2023,8,-5
41,10,11-02-2023,8,-4
42,11,12-02-2023,9,-3
43,12,13-02-2023,10,0
44,13,14-02-2023,11,-2
45,14,15-02-2023,12,-1
46,15,16-02-2023,13,1
47,16,17-02-2023,14,-1
48,17,18-02-2023,14,1
49,18,19-02-2023,17,4
50,19,20-02-2023,18,7
51,20,21-02-2023,15,3
52,21,22-02-2023,17,4
53,22,23-02-2023,16,5
54,23,24-02-2023,16,10
55,24,25-02-2023,16,5
56,25,26-02-2023,17,9
57,26,27-02-2023,19,14
58,27,28-02-2023,15,12
59,0,01-03-2023,12,8
60,1,02-03-2023,12,7
61,2,03-03-2023,11,6
62,3,04-03-2023,12,7
63,4,05-03-2023,15,3
64,5,06-03-2023,14,5
65,6,07-03-2023,16,5
66,7,08-03-2023,16,4
67,8,09-03-2023,17,5
68,9,10-03-2023,18,8
69,10,11-03-2023,18,11
