,index,Date,High T,Low T
70,11,12-03-2023,13,10
71,12,13-03-2023,14,7
72,13,14-03-2023,13,1
73,14,15-03-2023,13,2
74,15,16-03-2023,14,5
75,16,17-03-2023,14,8
76,17,18-03-2023,12,6
77,18,19-03-2023,16,0
78,19,20-03-2023,16,4
79,20,21-03-2023,17,6
80,21,22-03-2023,15,10
81,22,23-03-2023,16,7
82,23,24-03-2023,16,5
83,24,25-03-2023,17,5
84,25,26-03-2023,20,7
85,26,27-03-2023,18,7
86,27,28-03-2023,16,7
87,28,29-03-2023,11,-1
88,29,30-03-2023,15,2
89,30,31-03-2023,19,6
90,0,01-04-2023,20,7
91,1,02-04-2023,18,9
92,2,03-04-2023,14,7
93,3,04-04-2023,15,5
94,4,05-04-2023,13,5
95,5,06-04-2023,14,5
96,6,07-04-2023,14,4
97,7,08-04-2023,14,6
98,8,09-04-2023,17,6
99,9,10-04-2023,13,3
100,10,11-04-2023,14,3
101,11,12-04-2023,15,6
102,12,13-04-2023,15,5
103,13,14-04-2023,14,6
104,14,15-04-2023,15,5
105,15,16-04-2023,16,5
106,16,17-04-2023,16,9
107,17,18-04-2023,18,8
108,18,19-04-2023,18,7
109,19,20-04-2023,17,7
110,20,21-04-2023,16,6
111,21,22-04-2023,17,7
112,22,23-04-2023,19,8
113,23,24-04-2023,21,9
114,24,25-04-2023,21,9
115,25,26-04-2023,21,9
116,26,27-04-2023,22,10
117,27,28-04-2023,22,9
118,28,29-04-2023,18,8
119,29,30-04-2023,21,11
120,0,01-05-2023,21,10
121,1,02-05-2023,22,11
122,2,03-05-2023,21,10
123,3,04-05-2023,20,12
124,4,05-05-2023,21,11
125,5,06-05-2023,20,12
126,6,07-05-2023,20,12
127,7,08-05-2023,21,12
128,8,09-05-2023,22,12
129,9,10-05-2023,23,12
130,10,11-05-2023,24,10
131,11,12-05-2023,22,10
132,12,13-05-2023,23,10
133,13,14-05-2023,23,8
134,14,15-05-2023,22,8
135,15,16-05-2023,22,9
136,16,17-05-2023,23,11
137,17,18-05-2023,25,10
138,18,19-05-2023,22,10
139,19,20-05-2023,23,11
140,20,21-05-2023,26,12
141,21,22-05-2023,27,13
142,22,23-05-2023,27,13
143,23,24-05-2023,27,15
144,24,25-05-2023,27,13
145,25,26-05-2023,28,15
146,26,27-05-2023,27,14
147,27,28-05-2023,28,14
148,28,29-05-2023,26,15
149,29,30-05-2023,24,14
150,30,31-05-2023,25,15
151,0,01-06-2023,26,14
152,1,02-06-2023,25,15
153,2,03-06-2023,25,17
154,3,04-06-2023,26,16
155,4,05-06-2023,25,15
156,5,06-06-2023,28,15
157,6,07-06-2023,26,14
158,7,08-06-2023,26,15
159,8,09-06-2023,27,16
160,9,10-06-2023,26,14
161,10,11-06-2023,27,14
162,11,12-06-2023,26,14
163,12,13-06-2023,26,15
164,13,14-06-2023,27,17
165,14,15-06-2023,27,16
166,15,16-06-2023,27,15
167,16,17-06-2023,27,14
168,17,18-06-2023,27,16
169,18,19-06-2023,29,16
170,19,20-06-2023,29,16
171,20,21-06-2023,30,18
172,21,22-06-2023,29,18
173,22,23-06-2023,30,16
174,23,24-06-2023,29,17
175,24,25-06-2023,29,16
176,25,26-06-2023,28,15
177,26,27-06-2023,29,15
178,27,28-06-2023,29,15
179,28,29-06-2023,30,15
180,29,30-06-2023,30,15
181,0,01-07-2023,30,16
182,1,02-07-2023,30,16
183,2,03-07-2023,30,16
184,3,04-07-2023,30,16
185,4,05-07-2023,30,16
186,5,06-07-2023,30,16
187,6,07-07-2023,31,16
188,7,08-07-2023,31,16
189,8,09-07-2023,31,16
190,9,10-07-2023,31,16
191,10,11-07-2023,31,16
192,11,12-07-2023,31,16
193,12,13-07-2023,31,16
194,13,14-07-2023,31,16
195,14,15-07-2023,31,16
196,15,16-07-2023,31,16
197,16,17-07-2023,31,16
198,17,18-07-2023,31,16
199,18,19-07-2023,31,16
200,19,20-07-2023,31,16
201,20,21-07-2023,31,16
202,21,22-07-2023,31,16
203,22,23-07-2023,31,16
204,23,24-07-2023,31,16
205,24,25-07-2023,31,16
206,25,26-07-2023,31,16
207,26,27-07-2023,31,16
208,27,28-07-2023,31,16
209,28,29-07-2023,31,16
210,29,30-07-2023,30,16
211,30,31-07-2023,30,16
212,0,01-08-2023,30,16
213,1,02-08-2023,30,16
214,2,03-08-2023,30,16
215,3,04-08-2023,30,16
216,4,05-08-2023,30,16
217,5,06-08-2023,30,16
218,6,07-08-2023,30,16
219,7,08-08-2023,30,16
220,8,09-08-2023,30,16
221,9,10-08-2023,29,16
222,10,11-08-2023,29,16
223,11,12-08-2023,29,16
224,12,13-08-2023,29,16
225,13,14-08-2023,29,16
226,14,15-08-2023,29,16
227,15,16-08-2023,29,16
228,16,17-08-2023,29,15
229,17,18-08-2023,29,15
230,18,19-08-2023,29,15
231,19,20-08-2023,29,15
232,20,21-08-2023,28,15
233,21,22-08-2023,28,15
234,22,23-08-2023,28,15
235,23,24-08-2023,28,15
236,24,25-08-2023,28,15
237,25,26-08-2023,28,15
238,26,27-08-2023,28,15
239,27,28-08-2023,28,14
240,28,29-08-2023,28,14
241,29,30-08-2023,28,14
242,30,31-08-2023,28,14
243,0,01-09-2023,28,14
244,1,02-09-2023,27,14
245,2,03-09-2023,27,14
246,3,04-09-2023,27,14
247,4,05-09-2023,27,13
248,5,06-09-2023,27,13
249,6,07-09-2023,27,13
250,7,08-09-2023,27,13
251,8,09-09-2023,27,13
252,9,10-09-2023,27,13
253,10,11-09-2023,27,13
254,11,12-09-2023,26,13
255,12,13-09-2023,26,12
256,13,14-09-2023,26,12
257,14,15-09-2023,26,12
258,15,16-09-2023,26,12
259,16,17-09-2023,26,12
260,17,18-09-2023,26,12
261,18,19-09-2023,25,12
262,19,20-09-2023,25,11
263,20,21-09-2023,25,11
264,21,22-09-2023,25,11
265,22,23-09-2023,25,11
266,23,24-09-2023,25,11
267,24,25-09-2023,24,11
268,25,26-09-2023,24,11
269,26,27-09-2023,24,10
270,27,28-09-2023,24,10
271,28,29-09-2023,24,10
272,29,30-09-2023,23,10
273,0,01-10-2023,23,10
274,1,02-10-2023,23,10
275,2,03-10-2023,23,9
276,3,04-10-2023,23,9
277,4,05-10-2023,22,9
278,5,06-10-2023,22,9
279,6,07-10-2023,22,9
280,7,08-10-2023,22,9
281,8,09-10-2023,21,9
282,9,10-10-2023,21,8
283,10,11-10-2023,21,8
284,11,12-10-2023,21,8
285,12,13-10-2023,21,8
286,13,14-10-2023,20,8
287,14,15-10-2023,20,8
288,15,16-10-2023,20,8
289,16,17-10-2023,20,8
290,17,18-10-2023,19,7
291,18,19-10-2023,19,7
292,19,20-10-2023,19,7
293,20,21-10-2023,19,7
294,21,22-10-2023,18,7
295,22,23-10-2023,18,7
296,23,24-10-2023,18,7
297,24,25-10-2023,18,7
298,25,26-10-2023,17,7
299,26,27-10-2023,17,7
300,27,28-10-2023,17,6
301,28,29-10-2023,17,6
302,29,30-10-2023,16,6
303,30,31-10-2023,16,6
304,0,01-11-2023,16,6
305,1,02-11-2023,16,6
306,2,03-11-2023,16,6
307,3,04-11-2023,15,6
308,4,05-11-2023,15,6
309,5,06-11-2023,15,5
310,6,07-11-2023,15,5
311,7,08-11-2023,15,5
312,8,09-11-2023,14,5
313,9,10-11-2023,14,5
314,10,11-11-2023,14,5
315,11,12-11-2023,14,5
316,12,13-11-2023,14,5
317,13,14-11-2023,13,4
318,14,15-11-2023,13,4
319,15,16-11-2023,13,4
320,16,17-11-2023,13,4
321,17,18-11-2023,13,4
322,18,19-11-2023,13,4
323,19,20-11-2023,12,4
324,20,21-11-2023,12,3
325,21,22-11-2023,12,3
326,22,23-11-2023,12,3
327,23,24-11-2023,12,3
328,24,25-11-2023,12,3
329,25,26-11-2023,12,3
330,26,27-11-2023,12,3
331,27,28-11-2023,11,2
332,28,29-11-2023,11,2
333,29,30-11-2023,11,2
334,0,01-12-2023,11,2
335,1,02-12-2023,11,2
336,2,03-12-2023,11,2
337,3,04-12-2023,11,1
338,4,05-12-2023,11,1
339,5,06-12-2023,11,1
340,6,07-12-2023,11,1
341,7,08-12-2023,11,1
342,8,09-12-2023,10,1
343,9,10-12-2023,10,1
344,10,11-12-2023,10,1
345,11,12-12-2023,10,0
346,12,13-12-2023,10,0
347,13,14-12-2023,10,0
348,14,15-12-2023,10,0
349,15,16-12-2023,10,0
350,16,17-12-2023,10,0
351,17,18-12-2023,10,0
352,18,19-12-2023,10,0
353,19,20-12-2023,10,-1
354,20,21-12-2023,10,-1
355,21,22-12-2023,10,-1
356,22,23-12-2023,10,-1
357,23,24-12-2023,9,-1
358,24,25-12-2023,9,-1
359,25,26-12-2023,9,-1
360,26,27-12-2023,9,-1
361,27,28-12-2023,9,-1
362,28,29-12-2023,9,-1
363,29,30-12-2023,9,-1
364,30,31-12-2023,9,-1
