,index,Date,High T,Low T
0,0,01-01-2019,9,3
1,1,02-01-2019,9,-3
2,2,03-01-2019,6,2
3,3,04-01-2019,3,2
4,4,05-01-2019,1,-1
5,5,06-01-2019,2,-5
6,6,07-01-2019,4,-4
7,7,08-01-2019,3,-6
8,8,09-01-2019,2,-5
9,9,10-01-2019,10,2
10,10,11-01-2019,10,6
11,11,12-01-2019,7,2
12,12,13-01-2019,4,-2
13,13,14-01-2019,7,-3
14,14,15-01-2019,10,3
15,15,16-01-2019,10,-1
16,16,17-01-2019,13,-2
17,17,18-01-2019,11,-1
18,18,19-01-2019,12,2
19,19,20-01-2019,12,8
20,20,21-01-2019,12,3
21,21,22-01-2019,7,5
22,22,23-01-2019,13,5
23,23,24-01-2019,13,9
24,24,25-01-2019,10,9
25,25,26-01-2019,9,9
26,26,27-01-2019,10,6
27,27,28-01-2019,12,7
28,28,29-01-2019,13,9
29,29,30-01-2019,10,9
30,30,31-01-2019,10,6
31,0,01-02-2019,13,5
32,1,02-02-2019,15,3
33,2,03-02-2019,16,8
34,3,04-02-2019,17,9
35,4,05-02-2019,17,7
36,5,06-02-2019,12,8
37,6,07-02-2019,10,5
38,7,08-02-2019,8,4
39,8,09-02-2019,9,4
40,9,10-02-2019,11,2
41,10,11-02-2019,13,4
42,11,12-02-2019,13,6
43,12,13-02-2019,7,5
44,13,14-02-2019,12,1
45,14,15-02-2019,8,3
46,15,16-02-2019,10,2
47,16,17-02-2019,11,0
48,17,18-02-2019,14,0
49,18,19-02-2019,15,1
50,19,20-02-2019,14,1
51,20,21-02-2019,16,4
52,21,22-02-2019,12,4
53,22,23-02-2019,8,-1
54,23,24-02-2019,3,-1
55,24,25-02-2019,6,-1
56,25,26-02-2019,10,-2
57,26,27-02-2019,11,1
58,27,28-02-2019,12,4
59,0,01-03-2019,16,1
60,1,02-03-2019,16,7
61,2,03-03-2019,11,7
62,3,04-03-2019,12,2
63,4,05-03-2019,15,2
64,5,06-03-2019,17,5
65,6,07-03-2019,16,8
66,7,08-03-2019,16,7
67,8,09-03-2019,16,8
68,9,10-03-2019,16,10
69,10,11-03-2019,17,8
70,11,12-03-2019,14,6
71,12,13-03-2019,9,5
72,13,14-03-2019,10,4
73,14,15-03-2019,13,5
74,15,16-03-2019,15,5
75,16,17-03-2019,19,4
76,17,18-03-2019,18,6
77,18,19-03-2019,19,11
78,19,20-03-2019,21,7
79,20,21-03-2019,19,9
80,21,22-03-2019,16,5
81,22,23-03-2019,18,5
82,23,24-03-2019,14,5
83,24,25-03-2019,16,4
84,25,26-03-2019,18,5
85,26,27-03-2019,12,7
86,27,28-03-2019,15,6
87,28,29-03-2019,16,4
88,29,30-03-2019,17,4
89,30,31-03-2019,16,4
90,0,01-04-2019,17,4
91,1,02-04-2019,20,6
92,2,03-04-2019,15,5
93,3,04-04-2019,14,5
94,4,05-04-2019,16,6
95,5,06-04-2019,15,9
96,6,07-04-2019,14,11
97,7,08-04-2019,14,12
98,8,09-04-2019,16,10
99,9,10-04-2019,16,10
100,10,11-04-2019,19,11
101,11,12-04-2019,16,12
102,12,13-04-2019,17,11
103,13,14-04-2019,16,11
104,14,15-04-2019,16,9
105,15,16-04-2019,15,7
106,16,17-04-2019,18,6
107,17,18-04-2019,15,9
108,18,19-04-2019,17,6
109,19,20-04-2019,14,9
110,20,21-04-2019,16,5
111,21,22-04-2019,18,11
112,22,23-04-2019,16,11
113,23,24-04-2019,19,9
114,24,25-04-2019,21,10
115,25,26-04-2019,22,16
116,26,27-04-2019,22,12
117,27,28-04-2019,22,12
118,28,29-04-2019,22,12
119,29,30-04-2019,21,15
120,0,01-05-2019,20,11
121,1,02-05-2019,20,12
122,2,03-05-2019,21,9
123,3,04-05-2019,20,13
124,4,05-05-2019,21,14
125,5,06-05-2019,21,14
126,6,07-05-2019,16,12
127,7,08-05-2019,17,14
128,8,09-05-2019,18,7
