,index,Date,High T,Low T
0,0,01-01-2020,11,1
1,1,02-01-2020,9,-2
2,2,03-01-2020,10,-3
3,3,04-01-2020,13,-2
4,4,05-01-2020,9,2
5,5,06-01-2020,9,3
6,6,07-01-2020,10,-2
7,7,08-01-2020,10,-5
8,8,09-01-2020,9,-5
9,9,10-01-2020,12,-1
10,10,11-01-2020,12,0
11,11,12-01-2020,9,6
12,12,13-01-2020,12,3
13,13,14-01-2020,12,1
14,14,15-01-2020,13,2
15,15,16-01-2020,10,0
16,16,17-01-2020,9,-2
17,17,18-01-2020,8,-1
18,18,19-01-2020,8,3
19,19,20-01-2020,9,-2
20,20,21-01-2020,8,-3
21,21,22-01-2020,10,-3
22,22,23-01-2020,11,-2
23,23,24-01-2020,11,0
24,24,25-01-2020,12,-2
25,25,26-01-2020,14,1
26,26,27-01-2020,15,8
27,27,28-01-2020,14,4
28,28,29-01-2020,15,3
29,29,30-01-2020,14,5
30,30,31-01-2020,13,-2
31,0,01-02-2020,17,1
32,1,02-02-2020,17,3
33,2,03-02-2020,15,3
34,3,04-02-2020,16,4
35,4,05-02-2020,11,4
36,5,06-02-2020,7,1
37,6,07-02-2020,9,-1
38,7,08-02-2020,5,0
39,8,09-02-2020,10,0
40,9,10-02-2020,11,0
41,10,11-02-2020,15,5
42,11,12-02-2020,11,4
43,12,13-02-2020,14,3
44,13,14-02-2020,13,5
45,14,15-02-2020,13,6
46,15,16-02-2020,13,2
47,16,17-02-2020,13,1
48,17,18-02-2020,14,1
49,18,19-02-2020,15,3
50,19,20-02-2020,14,5
51,20,21-02-2020,13,3
52,21,22-02-2020,12,4
53,22,23-02-2020,13,1
54,23,24-02-2020,14,2
55,24,25-02-2020,14,5
56,25,26-02-2020,16,3
57,26,27-02-2020,17,5
58,27,28-02-2020,13,2
59,28,29-02-2020,14,4
60,0,01-03-2020,14,5
61,1,02-03-2020,16,6
62,2,03-03-2020,20,10
63,3,04-03-2020,16,11
64,4,05-03-2020,15,10
65,5,06-03-2020,15,7
66,6,07-03-2020,17,6
67,7,08-03-2020,17,9
68,8,09-03-2020,16,11
69,9,10-03-2020,13,9
70,10,11-03-2020,16,6
71,11,12-03-2020,18,5
72,12,13-03-2020,18,6
73,13,14-03-2020,19,7
74,14,15-03-2020,12,5
75,15,16-03-2020,11,2
76,16,17-03-2020,11,0
77,17,18-03-2020,13,2
78,18,19-03-2020,14,2
79,19,20-03-2020,16,4
80,20,21-03-2020,18,5
81,21,22-03-2020,16,7
82,22,23-03-2020,12,7
83,23,24-03-2020,9,7
84,24,25-03-2020,10,6
85,25,26-03-2020,10,7
86,26,27-03-2020,13,8
87,27,28-03-2020,13,8
88,28,29-03-2020,14,10
89,29,30-03-2020,16,6
90,30,31-03-2020,16,6
91,0,01-04-2020,9,6
92,1,02-04-2020,11,4
93,2,03-04-2020,13,3
94,3,04-04-2020,10,8
95,4,05-04-2020,12,9
96,5,06-04-2020,13,12
97,6,07-04-2020,17,10
98,7,08-04-2020,20,8
99,8,09-04-2020,18,5
100,9,10-04-2020,20,6
101,10,11-04-2020,20,16
102,11,12-04-2020,19,12
103,12,13-04-2020,16,7
104,13,14-04-2020,19,7
105,14,15-04-2020,11,8
106,15,16-04-2020,15,3
107,16,17-04-2020,17,5
108,17,18-04-2020,20,7
109,18,19-04-2020,21,13
110,19,20-04-2020,21,13
111,20,21-04-2020,10,10
112,21,22-04-2020,16,8
113,22,23-04-2020,16,4
114,23,24-04-2020,18,4
115,24,25-04-2020,19,5
116,25,26-04-2020,21,13
117,26,27-04-2020,20,11
118,27,28-04-2020,21,11
119,28,29-04-2020,22,13
120,29,30-04-2020,22,12
121,0,01-05-2020,21,10
122,1,02-05-2020,21,13
123,2,03-05-2020,21,14
124,3,04-05-2020,17,10
125,4,05-05-2020,20,14
126,5,06-05-2020,21,11
127,6,07-05-2020,18,11
128,7,08-05-2020,21,10
129,8,09-05-2020,20,12
130,9,10-05-2020,23,11
131,10,11-05-2020,24,13
132,11,12-05-2020,25,15
133,12,13-05-2020,26,20
134,13,14-05-2020,24,16
135,14,15-05-2020,25,16
136,15,16-05-2020,30,17
137,16,17-05-2020,28,19
138,17,18-05-2020,29,18
139,18,19-05-2020,27,18
140,19,20-05-2020,26,17
141,20,21-05-2020,23,16
142,21,22-05-2020,21,13
143,22,23-05-2020,22,12
