,index,Date,High T,Low T
0,0,01-01-2018,13,1
1,1,02-01-2018,14,4
2,2,03-01-2018,13,4
3,3,04-01-2018,10,2
4,4,05-01-2018,13,0
5,5,06-01-2018,14,1
6,6,07-01-2018,14,2
7,7,08-01-2018,12,2
8,8,09-01-2018,12,3
9,9,10-01-2018,11,8
10,10,11-01-2018,14,7
11,11,12-01-2018,13,5
12,12,13-01-2018,9,5
13,13,14-01-2018,7,3
14,14,15-01-2018,5,2
15,15,16-01-2018,11,4
16,16,17-01-2018,14,1
17,17,18-01-2018,11,3
18,18,19-01-2018,12,-1
19,19,20-01-2018,12,0
20,20,21-01-2018,10,4
21,21,22-01-2018,12,6
22,22,23-01-2018,8,3
23,23,24-01-2018,8,-1
24,24,25-01-2018,7,-5
25,25,26-01-2018,7,-4
26,26,27-01-2018,9,-2
27,27,28-01-2018,11,-1
28,28,29-01-2018,12,0
29,29,30-01-2018,14,2
30,30,31-01-2018,14,2
31,0,01-02-2018,14,2
32,1,02-02-2018,15,5
33,2,03-02-2018,15,9
34,3,04-02-2018,14,6
35,4,05-02-2018,13,5
36,5,06-02-2018,12,5
37,6,07-02-2018,11,4
38,7,08-02-2018,16,6
39,8,09-02-2018,15,3
40,9,10-02-2018,10,5
41,10,11-02-2018,8,5
42,11,12-02-2018,8,4
43,12,13-02-2018,8,5
44,13,14-02-2018,14,4
45,14,15-02-2018,11,2
46,15,16-02-2018,12,4
47,16,17-02-2018,12,3
48,17,18-02-2018,11,5
49,18,19-02-2018,12,4
50,19,20-02-2018,10,7
51,20,21-02-2018,9,6
52,21,22-02-2018,11,5
53,22,23-02-2018,12,3
54,23,24-02-2018,8,6
55,24,25-02-2018,6,3
56,25,26-02-2018,3,1
57,26,27-02-2018,7,0
58,27,28-02-2018,10,1
59,0,01-03-2018,5,-2
60,1,02-03-2018,8,3
61,2,03-03-2018,15,7
62,3,04-03-2018,19,8
63,4,05-03-2018,11,7
64,5,06-03-2018,14,8
65,6,07-03-2018,19,9
66,7,08-03-2018,16,9
67,8,09-03-2018,16,6
68,9,10-03-2018,14,5
69,10,11-03-2018,17,7
70,11,12-03-2018,18,8
71,12,13-03-2018,18,11
72,13,14-03-2018,17,8
73,14,15-03-2018,17,7
74,15,16-03-2018,16,8
75,16,17-03-2018,19,8
76,17,18-03-2018,16,12
77,18,19-03-2018,16,11
78,19,20-03-2018,16,10
79,20,21-03-2018,17,10
80,21,22-03-2018,12,6
81,22,23-03-2018,12,4
82,23,24-03-2018,8,4
83,24,25-03-2018,11,3
84,25,26-03-2018,18,7
85,26,27-03-2018,16,8
86,27,28-03-2018,12,6
87,28,29-03-2018,15,3
88,29,30-03-2018,16,5
89,30,31-03-2018,17,6
90,0,01-04-2018,19,12
91,1,02-04-2018,18,8
92,2,03-04-2018,18,6
93,3,04-04-2018,17,6
94,4,05-04-2018,19,7
95,5,06-04-2018,20,11
96,6,07-04-2018,20,13
97,7,08-04-2018,25,12
98,8,09-04-2018,20,10
99,9,10-04-2018,20,9
100,10,11-04-2018,19,10
