,index,Date,High T,Low T
101,11,12-04-2018,20,9
102,12,13-04-2018,21,9
103,13,14-04-2018,23,9
104,14,15-04-2018,20,13
105,15,16-04-2018,18,13
106,16,17-04-2018,21,11
107,17,18-04-2018,22,10
108,18,19-04-2018,23,11
109,19,20-04-2018,19,10
110,20,21-04-2018,21,7
111,21,22-04-2018,22,10
112,22,23-04-2018,24,10
113,23,24-04-2018,24,10
114,24,25-04-2018,26,14
115,25,26-04-2018,25,13
116,26,27-04-2018,26,13
117,27,28-04-2018,27,15
118,28,29-04-2018,23,13
119,29,30-04-2018,23,13
120,0,01-05-2018,24,13
121,1,02-05-2018,23,14
122,2,03-05-2018,25,14
123,3,04-05-2018,26,14
124,4,05-05-2018,27,15
125,5,06-05-2018,23,17
126,6,07-05-2018,24,15
127,7,08-05-2018,25,16
128,8,09-05-2018,25,14
129,9,10-05-2018,24,15
130,10,11-05-2018,24,15
131,11,12-05-2018,24,13
132,12,13-05-2018,21,15
133,13,14-05-2018,24,14
134,14,15-05-2018,26,16
135,15,16-05-2018,27,17
136,16,17-05-2018,27,18
137,17,18-05-2018,27,16
138,18,19-05-2018,26,17
139,19,20-05-2018,27,17
140,20,21-05-2018,26,18
141,21,22-05-2018,25,16
142,22,23-05-2018,26,16
143,23,24-05-2018,26,18
144,24,25-05-2018,27,16
145,25,26-05-2018,32,15
146,26,27-05-2018,29,17
147,27,28-05-2018,27,17
148,28,29-05-2018,29,15
149,29,30-05-2018,30,19
150,30,31-05-2018,27,16
151,0,01-06-2018,32,14
152,1,02-06-2018,29,20
153,2,03-06-2018,26,18
154,3,04-06-2018,30,18
155,4,05-06-2018,29,18
156,5,06-06-2018,29,19
157,6,07-06-2018,29,19
158,7,08-06-2018,29,18
159,8,09-06-2018,29,20
160,9,10-06-2018,29,19
161,10,11-06-2018,31,20
162,11,12-06-2018,29,18
163,12,13-06-2018,30,19
164,13,14-06-2018,29,20
165,14,15-06-2018,27,19
166,15,16-06-2018,27,18
167,16,17-06-2018,27,18
168,17,18-06-2018,28,19
169,18,19-06-2018,32,19
170,19,20-06-2018,33,19
171,20,21-06-2018,31,18
172,21,22-06-2018,30,19
173,22,23-06-2018,27,17
174,23,24-06-2018,25,16
175,24,25-06-2018,26,16
176,25,26-06-2018,25,19
177,26,27-06-2018,23,16
178,27,28-06-2018,25,18
179,28,29-06-2018,27,18
180,29,30-06-2018,28,19
181,0,01-07-2018,30,19
182,1,02-07-2018,29,20
183,2,03-07-2018,30,21
184,3,04-07-2018,32,22
185,4,05-07-2018,30,20
186,5,06-07-2018,30,22
187,6,07-07-2018,30,21
188,7,08-07-2018,28,20
189,8,09-07-2018,27,23
190,9,10-07-2018,27,19
191,10,11-07-2018,29,20
192,11,12-07-2018,30,22
193,12,13-07-2018,31,21
194,13,14-07-2018,30,19
195,14,15-07-2018,30,21
196,15,16-07-2018,31,20
197,16,17-07-2018,31,21
198,17,18-07-2018,30,20
199,18,19-07-2018,30,22
200,19,20-07-2018,30,20
201,20,21-07-2018,30,22
202,21,22-07-2018,31,20
203,22,23-07-2018,30,21
204,23,24-07-2018,28,19
205,24,25-07-2018,28,20
206,25,26-07-2018,28,22
207,26,27-07-2018,29,20
208,27,28-07-2018,29,21
209,28,29-07-2018,30,22
210,29,30-07-2018,31,21
211,30,31-07-2018,31,22
212,0,01-08-2018,31,22
213,1,02-08-2018,33,22
214,2,03-08-2018,33,22
215,3,04-08-2018,33,22
216,4,05-08-2018,34,20
217,5,06-08-2018,33,20
218,6,07-08-2018,33,19
219,7,08-08-2018,32,22
220,8,09-08-2018,33,22
221,9,10-08-2018,32,18
222,10,11-08-2018,31,21
223,11,12-08-2018,30,19
224,12,13-08-2018,30,18
225,13,14-08-2018,30,19
226,14,15-08-2018,32,20
227,15,16-08-2018,33,19
228,16,17-08-2018,32,21
229,17,18-08-2018,36,21
230,18,19-08-2018,35,21
231,19,20-08-2018,33,21
232,20,21-08-2018,30,19
233,21,22-08-2018,32,17
234,22,23-08-2018,34,18
235,23,24-08-2018,32,19
236,24,25-08-2018,32,21
237,25,26-08-2018,31,21
238,26,27-08-2018,31,19
239,27,28-08-2018,32,21
240,28,29-08-2018,33,20
241,29,30-08-2018,32,20
242,30,31-08-2018,33,20
243,0,01-09-2018,35,20
244,1,02-09-2018,35,20
245,2,03-09-2018,33,20
246,3,04-09-2018,30,21
247,4,05-09-2018,29,18
248,5,06-09-2018,28,18
249,6,07-09-2018,29,17
250,7,08-09-2018,30,18
251,8,09-09-2018,30,18
252,9,10-09-2018,28,18
253,10,11-09-2018,28,17
254,11,12-09-2018,27,15
255,12,13-09-2018,28,15
256,13,14-09-2018,28,16
257,14,15-09-2018,28,17
258,15,16-09-2018,29,17
259,16,17-09-2018,28,18
260,17,18-09-2018,28,17
261,18,19-09-2018,27,16
262,19,20-09-2018,26,26
263,20,21-09-2018,27,15
264,21,22-09-2018,27,16
265,22,23-09-2018,29,15
266,23,24-09-2018,28,17
267,24,25-09-2018,21,10
268,25,26-09-2018,20,12
269,26,27-09-2018,22,8
270,27,28-09-2018,23,10
271,28,29-09-2018,21,14
272,29,30-09-2018,19,15
273,0,01-10-2018,19,15
274,1,02-10-2018,23,16
275,2,03-10-2018,24,14
276,3,04-10-2018,21,13
277,4,05-10-2018,23,12
278,5,06-10-2018,22,11
279,6,07-10-2018,22,9
280,7,08-10-2018,23,11
281,8,09-10-2018,23,12
282,9,10-10-2018,24,10
283,10,11-10-2018,23,10
284,11,12-10-2018,22,14
285,12,13-10-2018,23,14
286,13,14-10-2018,19,12
287,14,15-10-2018,22,13
288,15,16-10-2018,23,11
289,16,17-10-2018,24,11
290,17,18-10-2018,23,11
291,18,19-10-2018,23,11
292,19,20-10-2018,21,11
293,20,21-10-2018,22,11
294,21,22-10-2018,21,10
295,22,23-10-2018,17,10
296,23,24-10-2018,19,8
297,24,25-10-2018,16,6
298,25,26-10-2018,19,5
299,26,27-10-2018,21,6
300,27,28-10-2018,23,12
301,28,29-10-2018,22,13
302,29,30-10-2018,22,13
303,30,31-10-2018,21,12
304,0,01-11-2018,23,13
305,1,02-11-2018,21,13
306,2,03-11-2018,20,9
307,3,04-11-2018,21,6
308,4,05-11-2018,20,8
309,5,06-11-2018,19,7
310,6,07-11-2018,18,8
311,7,08-11-2018,19,12
312,8,09-11-2018,19,12
313,9,10-11-2018,18,7
314,10,11-11-2018,18,7
315,11,12-11-2018,20,5
316,12,13-11-2018,17,4
317,13,14-11-2018,14,8
318,14,15-11-2018,14,5
319,15,16-11-2018,14,5
320,16,17-11-2018,9,4
321,17,18-11-2018,10,8
322,18,19-11-2018,16,8
323,19,20-11-2018,13,9
324,20,21-11-2018,20,12
325,21,22-11-2018,13,9
326,22,23-11-2018,11,9
327,23,24-11-2018,13,8
328,24,25-11-2018,13,8
329,25,26-11-2018,18,12
330,26,27-11-2018,16,12
331,27,28-11-2018,15,7
332,28,29-11-2018,7,5
333,29,30-11-2018,7,1
334,0,01-12-2018,8,-1
335,1,02-12-2018,12,2
336,2,03-12-2018,13,0
337,3,04-12-2018,12,2
338,4,05-12-2018,15,3
339,5,06-12-2018,10,3
340,6,07-12-2018,9,0
341,7,08-12-2018,10,0
342,8,09-12-2018,13,5
343,9,10-12-2018,10,3
344,10,11-12-2018,9,1
345,11,12-12-2018,10,3
346,12,13-12-2018,9,-2
347,13,14-12-2018,8,-1
348,14,15-12-2018,14,7
349,15,16-12-2018,12,11
350,16,17-12-2018,9,9
351,17,18-12-2018,8,5
352,18,19-12-2018,6,4
353,19,20-12-2018,7,2
354,20,21-12-2018,10,3
355,21,22-12-2018,11,1
356,22,23-12-2018,14,1
357,23,24-12-2018,13,2
358,24,25-12-2018,9,3
359,25,26-12-2018,8,-2
360,26,27-12-2018,10,-2
361,27,28-12-2018,10,-2
362,28,29-12-2018,12,0
363,29,30-12-2018,7,1
364,30,31-12-2018,8,4
