,index,Date,High T,Low T
0,0,01-01-2022,13,4
1,1,02-01-2022,15,0
2,2,03-01-2022,13,4
3,3,04-01-2022,15,2
4,4,05-01-2022,15,2
5,5,06-01-2022,16,3
6,6,07-01-2022,14,4
7,7,08-01-2022,10,7
8,8,09-01-2022,10,8
9,9,10-01-2022,10,8
10,10,11-01-2022,10,4
11,11,12-01-2022,5,0
12,12,13-01-2022,5,-5
13,13,14-01-2022,6,-4
14,14,15-01-2022,11,-2
15,15,16-01-2022,9,-1
16,16,17-01-2022,10,-2
17,17,18-01-2022,11,2
18,18,19-01-2022,8,-2
19,19,20-01-2022,11,-3
20,20,21-01-2022,8,-2
21,21,22-01-2022,6,-2
22,22,23-01-2022,7,-3
23,23,24-01-2022,3,-2
24,24,25-01-2022,4,-7
25,25,26-01-2022,5,-6
26,26,27-01-2022,8,-4
27,27,28-01-2022,9,-4
28,28,29-01-2022,8,0
29,29,30-01-2022,9,-3
30,30,31-01-2022,12,2
31,0,01-02-2022,9,3
32,1,02-02-2022,6,4
33,2,03-02-2022,11,2
34,3,04-02-2022,10,-1
35,4,05-02-2022,11,-1
36,5,06-02-2022,14,0
37,6,07-02-2022,13,4
38,7,08-02-2022,9,4
39,8,09-02-2022,11,0
40,9,10-02-2022,13,0
41,10,11-02-2022,13,0
42,11,12-02-2022,13,3
43,12,13-02-2022,11,5
44,13,14-02-2022,11,4
45,14,15-02-2022,12,4
46,15,16-02-2022,15,4
47,16,17-02-2022,16,7
48,17,18-02-2022,18,6
49,18,19-02-2022,15,4
50,19,20-02-2022,14,5
51,20,21-02-2022,16,4
52,21,22-02-2022,14,6
53,22,23-02-2022,12,9
54,23,24-02-2022,13,5
55,24,25-02-2022,13,1
56,25,26-02-2022,13,1
57,26,27-02-2022,8,5
58,27,28-02-2022,9,3
59,0,01-03-2022,8,2
60,1,02-03-2022,9,0
61,2,03-03-2022,11,-1
62,3,04-03-2022,11,1
63,4,05-03-2022,10,4
64,5,06-03-2022,7,4
65,6,07-03-2022,10,2
66,7,08-03-2022,9,4
67,8,09-03-2022,9,2
68,9,10-03-2022,7,0
69,10,11-03-2022,5,-5
70,11,12-03-2022,5,-2
71,12,13-03-2022,7,-4
72,13,14-03-2022,10,-1
73,14,15-03-2022,10,-2
74,15,16-03-2022,11,3
75,16,17-03-2022,10,5
76,17,18-03-2022,8,1
77,18,19-03-2022,8,-2
78,19,20-03-2022,9,-1
79,20,21-03-2022,12,1
80,21,22-03-2022,15,4
81,22,23-03-2022,16,6
82,23,24-03-2022,15,1
83,24,25-03-2022,18,2
84,25,26-03-2022,13,4
85,26,27-03-2022,15,2
86,27,28-03-2022,16,6
87,28,29-03-2022,15,6
88,29,30-03-2022,17,4
89,30,31-03-2022,17,11
90,0,01-04-2022,21,13
91,1,02-04-2022,19,14
92,2,03-04-2022,16,10
93,3,04-04-2022,14,5
94,4,05-04-2022,14,8
95,5,06-04-2022,17,4
96,6,07-04-2022,17,8
97,7,08-04-2022,22,6
98,8,09-04-2022,21,10
99,9,10-04-2022,20,13
100,10,11-04-2022,16,9
101,11,12-04-2022,15,4
102,12,13-04-2022,16,4
103,13,14-04-2022,17,6
104,14,15-04-2022,20,6
105,15,16-04-2022,20,8
106,16,17-04-2022,15,9
107,17,18-04-2022,12,7
108,18,19-04-2022,12,6
109,19,20-04-2022,16,7
110,20,21-04-2022,17,8
111,21,22-04-2022,20,10
112,22,23-04-2022,20,9
113,23,24-04-2022,21,10
114,24,25-04-2022,21,9
115,25,26-04-2022,23,11
116,26,27-04-2022,24,12
117,27,28-04-2022,23,14
118,28,29-04-2022,23,11
119,29,30-04-2022,23,13
120,0,01-05-2022,21,12
121,1,02-05-2022,21,10
122,2,03-05-2022,16,11
123,3,04-05-2022,18,9
124,4,05-05-2022,20,10
125,5,06-05-2022,21,12
126,6,07-05-2022,20,10
127,7,08-05-2022,21,12
128,8,09-05-2022,20,10
129,9,10-05-2022,21,11
130,10,11-05-2022,21,8
131,11,12-05-2022,23,12
132,12,13-05-2022,25,12
133,13,14-05-2022,24,13
134,14,15-05-2022,25,16
135,15,16-05-2022,25,16
136,16,17-05-2022,25,15
137,17,18-05-2022,24,14
138,18,19-05-2022,20,8
139,19,20-05-2022,24,9
140,20,21-05-2022,25,11
141,21,22-05-2022,27,13
142,22,23-05-2022,26,13
143,23,24-05-2022,26,17
144,24,25-05-2022,27,17
145,25,26-05-2022,29,16
146,26,27-05-2022,30,19
147,27,28-05-2022,30,19
148,28,29-05-2022,28,19
149,29,30-05-2022,27,16
150,30,31-05-2022,28,17
151,0,01-06-2022,29,16
152,1,02-06-2022,32,19
153,2,03-06-2022,35,19
154,3,04-06-2022,33,22
155,4,05-06-2022,31,20
156,5,06-06-2022,29,19
157,6,07-06-2022,28,18
158,7,08-06-2022,27,18
159,8,09-06-2022,28,18
160,9,10-06-2022,24,18
161,10,11-06-2022,23,16
162,11,12-06-2022,25,20
163,12,13-06-2022,30,18
164,13,14-06-2022,29,19
165,14,15-06-2022,28,21
166,15,16-06-2022,27,19
167,16,17-06-2022,27,17
168,17,18-06-2022,27,19
169,18,19-06-2022,29,19
170,19,20-06-2022,27,18
171,20,21-06-2022,29,17
172,21,22-06-2022,30,19
173,22,23-06-2022,30,21
174,23,24-06-2022,28,17
175,24,25-06-2022,28,18
176,25,26-06-2022,28,21
177,26,27-06-2022,28,19
178,27,28-06-2022,31,19
179,28,29-06-2022,30,20
180,29,30-06-2022,31,18
181,0,01-07-2022,32,20
182,1,02-07-2022,30,21
183,2,03-07-2022,30,19
184,3,04-07-2022,31,19
185,4,05-07-2022,32,18
186,5,06-07-2022,29,21
187,6,07-07-2022,30,21
188,7,08-07-2022,29,20
189,8,09-07-2022,26,19
190,9,10-07-2022,29,20
191,10,11-07-2022,27,17
192,11,12-07-2022,28,16
193,12,13-07-2022,28,17
194,13,14-07-2022,31,17
195,14,15-07-2022,32,18
196,15,16-07-2022,30,19
197,16,17-07-2022,31,21
198,17,18-07-2022,31,20
199,18,19-07-2022,31,17
200,19,20-07-2022,30,18
201,20,21-07-2022,32,18
202,21,22-07-2022,30,21
203,22,23-07-2022,31,21
204,23,24-07-2022,32,22
205,24,25-07-2022,31,22
206,25,26-07-2022,31,21
207,26,27-07-2022,32,20
208,27,28-07-2022,33,21
209,28,29-07-2022,33,20
210,29,30-07-2022,34,22
211,30,31-07-2022,32,21
212,0,01-08-2022,31,22
213,1,02-08-2022,31,21
214,2,03-08-2022,33,21
215,3,04-08-2022,33,20
216,4,05-08-2022,33,20
217,5,06-08-2022,33,22
218,6,07-08-2022,35,21
219,7,08-08-2022,36,22
220,8,09-08-2022,36,22
221,9,10-08-2022,35,20
222,10,11-08-2022,31,21
223,11,12-08-2022,31,21
224,12,13-08-2022,31,20
225,13,14-08-2022,29,22
226,14,15-08-2022,28,19
227,15,16-08-2022,30,20
228,16,17-08-2022,33,21
229,17,18-08-2022,34,21
230,18,19-08-2022,33,22
231,19,20-08-2022,33,23
232,20,21-08-2022,31,24
233,21,22-08-2022,30,21
234,22,23-08-2022,29,21
235,23,24-08-2022,31,21
236,24,25-08-2022,29,19
237,25,26-08-2022,27,21
238,26,27-08-2022,30,19
239,27,28-08-2022,30,20
240,28,29-08-2022,32,21
241,29,30-08-2022,31,21
242,30,31-08-2022,32,22
243,0,01-09-2022,29,19
244,1,02-09-2022,29,21
245,2,03-09-2022,28,20
246,3,04-09-2022,28,22
247,4,05-09-2022,27,19
248,5,06-09-2022,27,16
249,6,07-09-2022,27,15
250,7,08-09-2022,27,14
251,8,09-09-2022,28,17
252,9,10-09-2022,28,18
253,10,11-09-2022,29,19
254,11,12-09-2022,26,17
255,12,13-09-2022,25,18
256,13,14-09-2022,26,15
257,14,15-09-2022,27,16
258,15,16-09-2022,29,17
259,16,17-09-2022,29,20
260,17,18-09-2022,28,17
261,18,19-09-2022,23,12
262,19,20-09-2022,24,12
263,20,21-09-2022,20,14
264,21,22-09-2022,21,9
265,22,23-09-2022,20,10
266,23,24-09-2022,22,9
267,24,25-09-2022,23,10
268,25,26-09-2022,23,12
269,26,27-09-2022,26,18
270,27,28-09-2022,27,15
271,28,29-09-2022,27,18
272,29,30-09-2022,27,18
273,0,01-10-2022,27,16
274,1,02-10-2022,29,17
275,2,03-10-2022,24,13
276,3,04-10-2022,23,12
277,4,05-10-2022,23,11
278,5,06-10-2022,21,11
279,6,07-10-2022,25,13
280,7,08-10-2022,24,11
281,8,09-10-2022,24,11
282,9,10-10-2022,23,12
283,10,11-10-2022,22,13
284,11,12-10-2022,23,15
285,12,13-10-2022,23,10
286,13,14-10-2022,19,13
287,14,15-10-2022,22,14
288,15,16-10-2022,21,8
289,16,17-10-2022,22,9
290,17,18-10-2022,21,9
291,18,19-10-2022,21,8
292,19,20-10-2022,22,7
293,20,21-10-2022,18,11
294,21,22-10-2022,19,7
295,22,23-10-2022,21,9
296,23,24-10-2022,23,10
297,24,25-10-2022,22,12
298,25,26-10-2022,24,12
299,26,27-10-2022,25,13
300,27,28-10-2022,23,11
301,28,29-10-2022,21,9
302,29,30-10-2022,22,8
303,30,31-10-2022,24,12
304,0,01-11-2022,23,10
305,1,02-11-2022,21,9
306,2,03-11-2022,24,9
307,3,04-11-2022,20,10
308,4,05-11-2022,21,10
309,5,06-11-2022,20,15
310,6,07-11-2022,20,11
311,7,08-11-2022,19,10
312,8,09-11-2022,17,8
313,9,10-11-2022,18,7
314,10,11-11-2022,19,7
315,11,12-11-2022,14,10
316,12,13-11-2022,18,10
317,13,14-11-2022,16,6
318,14,15-11-2022,17,6
319,15,16-11-2022,17,10
320,16,17-11-2022,18,12
321,17,18-11-2022,21,9
322,18,19-11-2022,22,13
323,19,20-11-2022,22,15
324,20,21-11-2022,21,14
325,21,22-11-2022,16,9
326,22,23-11-2022,19,13
327,23,24-11-2022,19,9
328,24,25-11-2022,17,6
329,25,26-11-2022,14,5
330,26,27-11-2022,12,3
331,27,28-11-2022,9,7
332,28,29-11-2022,13,7
333,29,30-11-2022,13,10
334,0,01-12-2022,11,10
335,1,02-12-2022,15,7
336,2,03-12-2022,15,9
337,3,04-12-2022,13,9
338,4,05-12-2022,12,9
339,5,06-12-2022,13,8
340,6,07-12-2022,14,9
341,7,08-12-2022,16,9
342,8,09-12-2022,15,9
343,9,10-12-2022,17,11
344,10,11-12-2022,19,14
345,11,12-12-2022,16,11
346,12,13-12-2022,12,8
347,13,14-12-2022,11,5
348,14,15-12-2022,16,8
349,15,16-12-2022,15,7
350,16,17-12-2022,19,13
351,17,18-12-2022,17,13
352,18,19-12-2022,9,5
353,19,20-12-2022,11,-2
354,20,21-12-2022,9,-2
355,21,22-12-2022,11,-3
356,22,23-12-2022,13,0
357,23,24-12-2022,12,0
358,24,25-12-2022,16,3
359,25,26-12-2022,15,2
360,26,27-12-2022,15,2
361,27,28-12-2022,12,3
362,28,29-12-2022,14,5
363,29,30-12-2022,15,4
364,30,31-12-2022,15,4
