,index,Date,High T,Low T
0,0,01-01-2016,3,-8
1,1,02-01-2016,5,-4
2,2,03-01-2016,1,0
3,3,04-01-2016,4,0
4,4,05-01-2016,9,3
5,5,06-01-2016,12,7
6,6,07-01-2016,16,7
7,7,08-01-2016,13,3
8,8,09-01-2016,14,0
9,9,10-01-2016,14,6
10,10,11-01-2016,15,4
11,11,12-01-2016,17,5
12,12,13-01-2016,15,4
13,13,14-01-2016,14,3
14,14,15-01-2016,13,2
15,15,16-01-2016,16,10
16,16,17-01-2016,12,3
17,17,18-01-2016,3,-1
18,18,19-01-2016,2,-2
19,19,20-01-2016,6,-1
20,20,21-01-2016,9,1
21,21,22-01-2016,6,-1
22,22,23-01-2016,3,-4
23,23,24-01-2016,4,-5
24,24,25-01-2016,5,-2
25,25,26-01-2016,6,-3
26,26,27-01-2016,10,0
27,27,28-01-2016,14,2
28,28,29-01-2016,13,4
29,29,30-01-2016,16,3
30,30,31-01-2016,13,4
31,0,01-02-2016,15,4
32,1,02-02-2016,16,5
33,2,03-02-2016,13,6
34,3,04-02-2016,14,8
35,4,05-02-2016,12,4
36,5,06-02-2016,11,1
37,6,07-02-2016,9,1
38,7,08-02-2016,10,1
39,8,09-02-2016,12,4
40,9,10-02-2016,15,6
41,10,11-02-2016,16,9
42,11,12-02-2016,17,6
43,12,13-02-2016,15,9
44,13,14-02-2016,18,7
45,14,15-02-2016,20,13
46,15,16-02-2016,19,11
47,16,17-02-2016,17,9
48,17,18-02-2016,15,10
49,18,19-02-2016,12,10
50,19,20-02-2016,11,7
51,20,21-02-2016,13,4
52,21,22-02-2016,15,3
53,22,23-02-2016,16,6
54,23,24-02-2016,16,10
55,24,25-02-2016,13,9
56,25,26-02-2016,14,9
57,26,27-02-2016,15,6
58,27,28-02-2016,15,7
59,28,29-02-2016,17,7
60,0,01-03-2016,20,12
61,1,02-03-2016,18,8
62,2,03-03-2016,16,6
63,3,04-03-2016,15,9
64,4,05-03-2016,16,5
65,5,06-03-2016,17,6
66,6,07-03-2016,19,10
67,7,08-03-2016,18,14
68,8,09-03-2016,15,10
69,9,10-03-2016,11,8
70,10,11-03-2016,15,7
71,11,12-03-2016,15,5
72,12,13-03-2016,14,9
73,13,14-03-2016,10,5
74,14,15-03-2016,10,3
75,15,16-03-2016,11,5
76,16,17-03-2016,11,3
77,17,18-03-2016,14,1
78,18,19-03-2016,16,7
79,19,20-03-2016,15,7
80,20,21-03-2016,16,5
81,21,22-03-2016,18,10
82,22,23-03-2016,17,14
83,23,24-03-2016,16,10
84,24,25-03-2016,10,3
85,25,26-03-2016,12,1
86,26,27-03-2016,12,5
87,27,28-03-2016,13,4
88,28,29-03-2016,16,5
89,29,30-03-2016,17,6
90,30,31-03-2016,17,7
91,0,01-04-2016,16,11
92,1,02-04-2016,18,12
93,2,03-04-2016,18,10
94,3,04-04-2016,19,8
95,4,05-04-2016,20,9
96,5,06-04-2016,22,9
97,6,07-04-2016,25,9
98,7,08-04-2016,23,15
99,8,09-04-2016,20,12
100,9,10-04-2016,21,11
101,10,11-04-2016,18,13
102,11,12-04-2016,20,12
103,12,13-04-2016,21,9
104,13,14-04-2016,23,12
105,14,15-04-2016,24,11
106,15,16-04-2016,25,10
107,16,17-04-2016,22,10
108,17,18-04-2016,24,11
109,18,19-04-2016,27,13
110,19,20-04-2016,26,13
111,20,21-04-2016,18,9
112,21,22-04-2016,19,8
113,22,23-04-2016,21,13
114,23,24-04-2016,21,13
115,24,25-04-2016,22,12
116,25,26-04-2016,18,10
117,26,27-04-2016,18,8
118,27,28-04-2016,21,8
119,28,29-04-2016,17,9
120,29,30-04-2016,22,10
121,0,01-05-2016,21,11
122,1,02-05-2016,21,13
123,2,03-05-2016,19,13
124,3,04-05-2016,19,9
125,4,05-05-2016,19,11
126,5,06-05-2016,21,10
127,6,07-05-2016,20,10
128,7,08-05-2016,22,12
129,8,09-05-2016,22,12
130,9,10-05-2016,23,12
131,10,11-05-2016,22,13
132,11,12-05-2016,22,15
133,12,13-05-2016,25,16
134,13,14-05-2016,26,13
135,14,15-05-2016,25,12
136,15,16-05-2016,24,13
137,16,17-05-2016,21,14
138,17,18-05-2016,20,12
139,18,19-05-2016,22,10
140,19,20-05-2016,22,12
141,20,21-05-2016,17,15
142,21,22-05-2016,23,15
143,22,23-05-2016,25,12
144,23,24-05-2016,24,12
145,24,25-05-2016,25,12
146,25,26-05-2016,25,14
147,26,27-05-2016,24,14
148,27,28-05-2016,25,14
149,28,29-05-2016,25,15
150,29,30-05-2016,27,16
151,30,31-05-2016,27,17
152,0,01-06-2016,28,17
153,1,02-06-2016,29,19
154,2,03-06-2016,26,17
155,3,04-06-2016,26,15
156,4,05-06-2016,26,17
157,5,06-06-2016,25,18
158,6,07-06-2016,25,16
159,7,08-06-2016,23,15
160,8,09-06-2016,22,15
161,9,10-06-2016,23,14
162,10,11-06-2016,26,16
163,11,12-06-2016,28,16
164,12,13-06-2016,26,20
165,13,14-06-2016,26,17
166,14,15-06-2016,28,15
167,15,16-06-2016,30,17
168,16,17-06-2016,31,18
169,17,18-06-2016,32,20
170,18,19-06-2016,35,22
171,19,20-06-2016,33,23
172,20,21-06-2016,36,22
173,21,22-06-2016,37,22
174,22,23-06-2016,37,22
175,23,24-06-2016,37,27
176,24,25-06-2016,34,23
177,25,26-06-2016,31,22
178,26,27-06-2016,33,22
179,27,28-06-2016,31,20
180,28,29-06-2016,29,19
181,29,30-06-2016,30,20
182,0,01-07-2016,32,21
183,1,02-07-2016,34,22
184,2,03-07-2016,31,21
185,3,04-07-2016,32,21
186,4,05-07-2016,31,24
187,5,06-07-2016,29,21
188,6,07-07-2016,30,22
189,7,08-07-2016,30,20
190,8,09-07-2016,29,19
191,9,10-07-2016,32,19
192,10,11-07-2016,30,20
193,11,12-07-2016,30,19
194,12,13-07-2016,29,20
195,13,14-07-2016,31,21
196,14,15-07-2016,33,21
197,15,16-07-2016,31,22
198,16,17-07-2016,30,21
199,17,18-07-2016,29,21
200,18,19-07-2016,30,19
201,19,20-07-2016,29,21
202,20,21-07-2016,28,19
203,21,22-07-2016,31,20
204,22,23-07-2016,32,19
205,23,24-07-2016,32,21
206,24,25-07-2016,33,22
207,25,26-07-2016,32,20
208,26,27-07-2016,32,21
209,27,28-07-2016,31,21
210,28,29-07-2016,33,20
211,29,30-07-2016,33,20
212,30,31-07-2016,32,22
213,0,01-08-2016,34,20
214,1,02-08-2016,33,23
215,2,03-08-2016,32,21
216,3,04-08-2016,33,23
217,4,05-08-2016,33,22
218,5,06-08-2016,34,21
219,6,07-08-2016,36,21
220,7,08-08-2016,34,25
221,8,09-08-2016,32,22
222,9,10-08-2016,33,22
223,10,11-08-2016,32,21
224,11,12-08-2016,30,22
225,12,13-08-2016,28,20
226,13,14-08-2016,29,17
227,14,15-08-2016,30,15
228,15,16-08-2016,29,16
229,16,17-08-2016,30,19
230,17,18-08-2016,32,19
231,18,19-08-2016,31,18
232,19,20-08-2016,32,19
233,20,21-08-2016,33,21
234,21,22-08-2016,33,21
235,22,23-08-2016,30,22
236,23,24-08-2016,31,20
237,24,25-08-2016,31,20
238,25,26-08-2016,31,17
239,26,27-08-2016,31,18
240,27,28-08-2016,30,17
241,28,29-08-2016,29,20
242,29,30-08-2016,28,19
243,30,31-08-2016,32,19
244,0,01-09-2016,29,20
245,1,02-09-2016,27,18
246,2,03-09-2016,30,17
247,3,04-09-2016,29,16
248,4,05-09-2016,27,17
249,5,06-09-2016,27,19
250,6,07-09-2016,28,20
251,7,08-09-2016,30,19
252,8,09-09-2016,29,19
253,9,10-09-2016,31,20
254,10,11-09-2016,26,18
255,11,12-09-2016,29,18
256,12,13-09-2016,28,17
257,13,14-09-2016,30,15
258,14,15-09-2016,29,18
259,15,16-09-2016,28,16
260,16,17-09-2016,29,16
261,17,18-09-2016,29,18
262,18,19-09-2016,26,18
263,19,20-09-2016,27,17
264,20,21-09-2016,22,16
265,21,22-09-2016,21,12
266,22,23-09-2016,22,9
267,23,24-09-2016,23,12
268,24,25-09-2016,24,14
269,25,26-09-2016,23,12
270,26,27-09-2016,24,13
271,27,28-09-2016,24,11
272,28,29-09-2016,24,11
273,29,30-09-2016,26,11
274,0,01-10-2016,25,12
275,1,02-10-2016,25,13
276,2,03-10-2016,26,14
277,3,04-10-2016,26,14
278,4,05-10-2016,22,15
279,5,06-10-2016,20,13
280,6,07-10-2016,23,11
281,7,08-10-2016,25,12
282,8,09-10-2016,21,11
283,9,10-10-2016,20,12
284,10,11-10-2016,20,14
285,11,12-10-2016,23,13
286,12,13-10-2016,21,9
287,13,14-10-2016,22,10
288,14,15-10-2016,18,11
289,15,16-10-2016,21,11
290,16,17-10-2016,17,11
291,17,18-10-2016,17,8
292,18,19-10-2016,17,8
293,19,20-10-2016,19,10
294,20,21-10-2016,20,11
295,21,22-10-2016,17,13
296,22,23-10-2016,21,12
297,23,24-10-2016,21,13
298,24,25-10-2016,19,11
299,25,26-10-2016,18,13
300,26,27-10-2016,19,11
301,27,28-10-2016,16,9
302,28,29-10-2016,16,4
303,29,30-10-2016,18,5
304,30,31-10-2016,16,3
305,0,01-11-2016,15,2
306,1,02-11-2016,17,4
307,2,03-11-2016,19,7
308,3,04-11-2016,15,9
309,4,05-11-2016,18,11
310,5,06-11-2016,20,12
311,6,07-11-2016,23,10
312,7,08-11-2016,22,17
313,8,09-11-2016,21,13
314,9,10-11-2016,18,9
315,10,11-11-2016,19,7
316,11,12-11-2016,18,9
317,12,13-11-2016,18,8
318,13,14-11-2016,12,5
319,14,15-11-2016,10,7
320,15,16-11-2016,11,4
321,16,17-11-2016,13,2
322,17,18-11-2016,15,3
323,18,19-11-2016,16,3
