,index,Date,High T,Low T
125,5,06-05-2021,24,16
126,6,07-05-2021,24,13
127,7,08-05-2021,25,14
128,8,09-05-2021,21,14
129,9,10-05-2021,20,9
130,10,11-05-2021,20,10
131,11,12-05-2021,20,12
132,12,13-05-2021,23,12
133,13,14-05-2021,25,15
134,14,15-05-2021,20,15
135,15,16-05-2021,21,14
136,16,17-05-2021,24,12
137,17,18-05-2021,25,13
138,18,19-05-2021,24,13
139,19,20-05-2021,26,14
140,20,21-05-2021,22,14
141,21,22-05-2021,23,11
142,22,23-05-2021,23,12
143,23,24-05-2021,28,15
144,24,25-05-2021,27,19
145,25,26-05-2021,26,18
146,26,27-05-2021,26,17
147,27,28-05-2021,24,17
148,28,29-05-2021,25,15
149,29,30-05-2021,24,14
150,30,31-05-2021,19,14
151,0,01-06-2021,21,12
152,1,02-06-2021,22,11
153,2,03-06-2021,23,13
154,3,04-06-2021,23,15
155,4,05-06-2021,24,14
156,5,06-06-2021,26,14
157,6,07-06-2021,25,18
158,7,08-06-2021,24,18
159,8,09-06-2021,26,16
160,9,10-06-2021,26,17
161,10,11-06-2021,25,17
162,11,12-06-2021,25,18
163,12,13-06-2021,26,16
164,13,14-06-2021,21,15
165,14,15-06-2021,24,13
166,15,16-06-2021,26,16
167,16,17-06-2021,27,18
168,17,18-06-2021,26,18
169,18,19-06-2021,26,20
170,19,20-06-2021,26,18
171,20,21-06-2021,27,17
172,21,22-06-2021,29,20
173,22,23-06-2021,31,20
174,23,24-06-2021,32,21
175,24,25-06-2021,33,23
176,25,26-06-2021,33,22
177,26,27-06-2021,31,20
178,27,28-06-2021,31,21
179,28,29-06-2021,32,23
180,29,30-06-2021,31,23
181,0,01-07-2021,33,22
182,1,02-07-2021,32,21
183,2,03-07-2021,29,21
184,3,04-07-2021,31,18
185,4,05-07-2021,30,19
186,5,06-07-2021,33,20
187,6,07-07-2021,33,21
188,7,08-07-2021,33,23
189,8,09-07-2021,32,23
190,9,10-07-2021,31,20
191,10,11-07-2021,32,21
192,11,12-07-2021,33,21
193,12,13-07-2021,31,22
194,13,14-07-2021,32,23
195,14,15-07-2021,32,23
196,15,16-07-2021,34,22
197,16,17-07-2021,33,21
198,17,18-07-2021,32,22
199,18,19-07-2021,31,25
200,19,20-07-2021,30,22
201,20,21-07-2021,33,22
202,21,22-07-2021,30,20
203,22,23-07-2021,30,21
204,23,24-07-2021,30,19
205,24,25-07-2021,31,20
206,25,26-07-2021,32,18
207,26,27-07-2021,32,21
208,27,28-07-2021,34,21
209,28,29-07-2021,34,22
210,29,30-07-2021,35,21
211,30,31-07-2021,35,22
212,0,01-08-2021,35,23
213,1,02-08-2021,35,23
214,2,03-08-2021,37,22
215,3,04-08-2021,35,26
216,4,05-08-2021,36,2
217,5,06-08-2021,36,21
218,6,07-08-2021,32,19
219,7,08-08-2021,32,21
220,8,09-08-2021,32,20
221,9,10-08-2021,33,22
222,10,11-08-2021,33,20
223,11,12-08-2021,32,20
224,12,13-08-2021,32,22
225,13,14-08-2021,32,21
226,14,15-08-2021,31,19
227,15,16-08-2021,31,18
228,16,17-08-2021,30,20
229,17,18-08-2021,33,21
230,18,19-08-2021,30,22
231,19,20-08-2021,29,19
232,20,21-08-2021,30,20
233,21,22-08-2021,32,18
234,22,23-08-2021,31,17
235,23,24-08-2021,32,17
236,24,25-08-2021,29,18
237,25,26-08-2021,30,21
238,26,27-08-2021,31,19
239,27,28-08-2021,32,20
240,28,29-08-2021,30,21
241,29,30-08-2021,30,22
242,30,31-08-2021,29,19
243,0,01-09-2021,30,19
244,1,02-09-2021,27,15
245,2,03-09-2021,27,17
246,3,04-09-2021,26,17
247,4,05-09-2021,28,16
248,5,06-09-2021,28,16
249,6,07-09-2021,26,18
250,7,08-09-2021,24,18
251,8,09-09-2021,25,16
252,9,10-09-2021,27,16
253,10,11-09-2021,26,15
254,11,12-09-2021,29,14
255,12,13-09-2021,28,16
256,13,14-09-2021,31,16
257,14,15-09-2021,28,17
258,15,16-09-2021,27,15
259,16,17-09-2021,28,17
260,17,18-09-2021,29,17
261,18,19-09-2021,27,17
262,19,20-09-2021,28,18
263,20,21-09-2021,26,18
264,21,22-09-2021,19,14
265,22,23-09-2021,21,8
266,23,24-09-2021,22,11
267,24,25-09-2021,25,11
268,25,26-09-2021,27,15
269,26,27-09-2021,26,14
270,27,28-09-2021,25,17
271,28,29-09-2021,22,16
272,29,30-09-2021,23,15
273,0,01-10-2021,22,12
274,1,02-10-2021,22,10
275,2,03-10-2021,22,10
276,3,04-10-2021,23,10
277,4,05-10-2021,22,12
278,5,06-10-2021,22,9
279,6,07-10-2021,21,11
280,7,08-10-2021,16,14
281,8,09-10-2021,15,13
282,9,10-10-2021,17,13
283,10,11-10-2021,20,12
284,11,12-10-2021,18,13
285,12,13-10-2021,15,13
286,13,14-10-2021,16,12
287,14,15-10-2021,18,13
288,15,16-10-2021,18,14
289,16,17-10-2021,20,12
290,17,18-10-2021,19,13
291,18,19-10-2021,19,11
292,19,20-10-2021,20,11
293,20,21-10-2021,18,7
294,21,22-10-2021,20,10
295,22,23-10-2021,20,10
296,23,24-10-2021,15,12
297,24,25-10-2021,16,7
298,25,26-10-2021,17,6
299,26,27-10-2021,18,6
300,27,28-10-2021,18,5
301,28,29-10-2021,18,7
302,29,30-10-2021,18,9
303,30,31-10-2021,17,6
304,0,01-11-2021,18,11
305,1,02-11-2021,14,8
306,2,03-11-2021,18,8
307,3,04-11-2021,20,12
308,4,05-11-2021,21,10
309,5,06-11-2021,21,10
310,6,07-11-2021,20,12
311,7,08-11-2021,19,11
312,8,09-11-2021,18,14
313,9,10-11-2021,15,6
314,10,11-11-2021,13,2
315,11,12-11-2021,15,2
316,12,13-11-2021,16,3
317,13,14-11-2021,17,4
318,14,15-11-2021,17,7
319,15,16-11-2021,15,11
320,16,17-11-2021,13,6
321,17,18-11-2021,13,7
322,18,19-11-2021,11,9
323,19,20-11-2021,15,3
324,20,21-11-2021,16,4
325,21,22-11-2021,14,5
326,22,23-11-2021,16,10
327,23,24-11-2021,14,6
328,24,25-11-2021,12,2
329,25,26-11-2021,9,2
330,26,27-11-2021,15,5
331,27,28-11-2021,17,11
332,28,29-11-2021,19,13
333,29,30-11-2021,13,8
334,0,01-12-2021,12,0
335,1,02-12-2021,15,1
336,2,03-12-2021,19,6
337,3,04-12-2021,16,10
338,4,05-12-2021,16,10
339,5,06-12-2021,17,6
340,6,07-12-2021,13,10
341,7,08-12-2021,12,7
342,8,09-12-2021,14,2
343,9,10-12-2021,16,10
344,10,11-12-2021,15,6
345,11,12-12-2021,16,11
346,12,13-12-2021,10,7
347,13,14-12-2021,7,6
348,14,15-12-2021,11,3
349,15,16-12-2021,10,4
350,16,17-12-2021,10,3
351,17,18-12-2021,9,4
352,18,19-12-2021,9,-2
353,19,20-12-2021,11,-2
354,20,21-12-2021,9,-1
355,21,22-12-2021,5,0
356,22,23-12-2021,6,-2
357,23,24-12-2021,9,-3
358,24,25-12-2021,12,-1
359,25,26-12-2021,11,2
360,26,27-12-2021,15,7
361,27,28-12-2021,12,8
362,28,29-12-2021,13,10
363,29,30-12-2021,12,7
364,30,31-12-2021,13,4
