,index,Date,High T,Low T
0,0,01-01-2021,15,4
1,1,02-01-2021,13,2
2,2,03-01-2021,18,9
3,3,04-01-2021,14,12
4,4,05-01-2021,15,8
5,5,06-01-2021,15,4
6,6,07-01-2021,15,7
7,7,08-01-2021,18,11
8,8,09-01-2021,16,9
9,9,10-01-2021,9,7
10,10,11-01-2021,13,9
11,11,12-01-2021,13,8
12,12,13-01-2021,10,5
13,13,14-01-2021,8,3
14,14,15-01-2021,8,0
15,15,16-01-2021,5,0
16,16,17-01-2021,3,-1
17,17,18-01-2021,3,-5
18,18,19-01-2021,5,-5
19,19,20-01-2021,8,-4
20,20,21-01-2021,11,1
21,21,22-01-2021,13,5
22,22,23-01-2021,16,6
23,23,24-01-2021,14,8
24,24,25-01-2021,16,10
25,25,26-01-2021,13,5
26,26,27-01-2021,8,2
27,27,28-01-2021,7,0
28,28,29-01-2021,11,-2
29,29,30-01-2021,13,5
30,30,31-01-2021,15,2
31,0,01-02-2021,16,8
32,1,02-02-2021,17,7
33,2,03-02-2021,15,6
34,3,04-02-2021,13,6
35,4,05-02-2021,15,5
36,5,06-02-2021,15,8
37,6,07-02-2021,16,8
38,7,08-02-2021,18,9
39,8,09-02-2021,17,10
40,9,10-02-2021,15,9
41,10,11-02-2021,17,9
42,11,12-02-2021,11,1
43,12,13-02-2021,3,-3
44,13,14-02-2021,0,-4
45,14,15-02-2021,6,-3
46,15,16-02-2021,5,-3
47,16,17-02-2021,5,-6
48,17,18-02-2021,12,1
49,18,19-02-2021,9,4
50,19,20-02-2021,9,6
51,20,21-02-2021,11,4
52,21,22-02-2021,12,1
53,22,23-02-2021,15,1
54,23,24-02-2021,17,3
55,24,25-02-2021,14,4
56,25,26-02-2021,16,3
57,26,27-02-2021,16,4
58,27,28-02-2021,14,7
59,0,01-03-2021,13,4
60,1,02-03-2021,12,3
61,2,03-03-2021,15,0
62,3,04-03-2021,14,3
63,4,05-03-2021,16,2
64,5,06-03-2021,16,6
65,6,07-03-2021,9,4
66,7,08-03-2021,12,3
67,8,09-03-2021,13,6
68,9,10-03-2021,13,7
69,10,11-03-2021,10,5
70,11,12-03-2021,10,4
71,12,13-03-2021,14,3
72,13,14-03-2021,17,9
73,14,15-03-2021,16,8
74,15,16-03-2021,14,7
75,16,17-03-2021,14,8
76,17,18-03-2021,11,3
77,18,19-03-2021,9,4
78,19,20-03-2021,9,5
79,20,21-03-2021,6,5
80,21,22-03-2021,9,4
81,22,23-03-2021,11,6
82,23,24-03-2021,9,1
83,24,25-03-2021,10,-1
84,25,26-03-2021,14,0
85,26,27-03-2021,15,2
86,27,28-03-2021,16,2
87,28,29-03-2021,16,9
88,29,30-03-2021,16,4
89,30,31-03-2021,16,5
90,0,01-04-2021,14,8
91,1,02-04-2021,16,3
92,2,03-04-2021,19,9
93,3,04-04-2021,17,11
94,4,05-04-2021,14,7
95,5,06-04-2021,13,8
96,6,07-04-2021,20,7
97,7,08-04-2021,9,5
98,8,09-04-2021,13,1
99,9,10-04-2021,14,2
100,10,11-04-2021,15,4
101,11,12-04-2021,16,4
102,12,13-04-2021,14,7
103,13,14-04-2021,18,5
104,14,15-04-2021,16,10
105,15,16-04-2021,16,8
106,16,17-04-2021,16,11
107,17,18-04-2021,17,8
108,18,19-04-2021,14,9
109,19,20-04-2021,16,6
110,20,21-04-2021,17,7
111,21,22-04-2021,17,7
112,22,23-04-2021,17,11
113,23,24-04-2021,16,13
114,24,25-04-2021,18,12
115,25,26-04-2021,17,7
116,26,27-04-2021,18,8
117,27,28-04-2021,21,9
118,28,29-04-2021,21,10
119,29,30-04-2021,22,11
120,0,01-05-2021,24,13
121,1,02-05-2021,24,15
122,2,03-05-2021,27,14
123,3,04-05-2021,24,15
124,4,05-05-2021,23,14
